# Time series at grid cell:   1   1   1
  Time(hrs)                  Na+                    K+                     Al+++                  Mg++                   SiO2(aq)               Ca++                   Fe++                   SO4--                  pH                     CO2(aq)                O2(aq)                
  1.00000E+01                1.89873722729985E-06   9.95433182285392E-06   1.27328164461227E-06   5.47941095308987E-07   3.14889269702598E-05   1.16207423317649E-06   7.71236654217447E-08   3.41074825758240E-09   5.31057724877561E+00   2.01172012303983E-04   2.17342737395134E-04
  1.39198E+01                2.67159390021753E-06   1.37617767815226E-05   1.56278687683696E-06   6.79550470486323E-07   4.06719185203244E-05   1.29911496513180E-06   9.15133785889000E-08   4.42598347696864E-09   5.23333828985731E+00   3.30263219082422E-04   1.83839868311027E-04
  2.17593E+01                4.46035014469479E-06   2.24234686859944E-05   1.77825483746526E-06   9.43926922748644E-07   5.33427269543899E-05   1.57137041081295E-06   1.19927826309135E-07   5.72915148092626E-09   5.16955457942415E+00   5.83893304980596E-04   1.18009364002294E-04
  3.74383E+01                7.92126178290238E-06   3.85024341934721E-05   1.39571564135750E-06   1.47361434952798E-06   6.27437996028896E-05   2.11043644813598E-06   1.75903625336741E-07   6.63966646345239E-09   5.18372931937721E+00   8.80667931477170E-04   4.12362688255182E-05
  5.00000E+01                1.04227677542871E-05   4.92472324013744E-05   1.03600230265795E-06   1.89674212625433E-06   6.31361861429054E-05   2.53827736268029E-06   2.20501811805416E-07   6.88857141988112E-09   5.22809566163825E+00   9.86761169345810E-04   1.40739782461895E-05
  7.00000E+01                1.37231479525495E-05   6.26429942839800E-05   6.66881461313363E-07   2.56830601840370E-06   5.94505978627208E-05   3.21514506318432E-06   2.91340050488064E-07   6.96615043060920E-09   5.30970368184364E+00   1.03314599019694E-03   2.75555207803695E-06
  9.00000E+01                1.65411216773202E-05   7.32644663464688E-05   4.73675446501781E-07   3.23625781668399E-06   5.51057426485491E-05   3.88712860046251E-06   3.62132262784344E-07   6.97903300711301E-09   5.37818630668888E+00   1.04474496454350E-03   4.57663173507529E-07
  1.10000E+02                1.90214784090024E-05   8.20441306362292E-05   3.63460507392623E-07   3.90054005160254E-06   5.17278708728547E-05   4.55480537295116E-06   4.32906785977599E-07   6.98091997326654E-09   5.43351100066093E+00   1.04884339521459E-03   6.70461509775584E-08
  1.20000E+02                2.01946745172881E-05   8.59759037632667E-05   3.22996485538548E-07   4.23084768010613E-06   5.01410876827222E-05   4.88666637016934E-06   4.68288248849224E-07   6.98115061541121E-09   5.45739877536622E+00   1.05028627066733E-03   1.63910240289245E-08
  1.30000E+02                2.13102165836883E-05   8.96195291352069E-05   2.91692106629572E-07   4.56023867367977E-06   4.89697646023419E-05   5.21753883228222E-06   5.03667190210569E-07   6.98120477408496E-09   5.47925732836244E+00   1.05154730476773E-03   3.85014371724750E-09
  1.40000E+02                2.23755105545987E-05   9.30148739902378E-05   2.65260547656522E-07   4.88871772061432E-06   4.80659122956985E-05   5.54744338316986E-06   5.39043803892018E-07   6.98121704133173E-09   5.49925045048598E+00   1.05273947964463E-03   8.72223519083579E-10
  1.60000E+02                2.43406108220857E-05   9.91305112090682E-05   2.24659247603939E-07   5.54385646687278E-06   4.69444674279603E-05   6.20530322614058E-06   6.09792645191544E-07   6.98121995468969E-09   5.53447970589517E+00   1.05501178494820E-03   1.03605145842374E-10
  2.00000E+02                2.77902138345194E-05   1.09399467395980E-04   1.71504808229864E-07   6.84688888844849E-06   4.55776259720917E-05   7.51343875056404E-06   7.51273720271470E-07   6.98122027998704E-09   5.59132115600725E+00   1.05927170716400E-03   5.78207374167668E-12
  2.30000E+02                3.01759728140606E-05   1.15972557627722E-04   1.43845468640168E-07   7.81334590719272E-06   4.46117821809618E-05   8.48354105642137E-06   8.57362151859844E-07   6.98122029673023E-09   5.62633320963243E+00   1.06229915850088E-03   3.96547328277150E-13
  2.60000E+02                3.24001503032061E-05   1.21783123852738E-04   1.24167758755469E-07   8.77179495564141E-06   4.39383229482643E-05   9.44553435614104E-06   9.63437147616463E-07   6.98122029781146E-09   5.65675013256696E+00   1.06520678606893E-03   2.58939773598220E-14
